"","Date.and.Time.of.initial.call","Date.and.time.of.Ranger.response","Borough","Property","Location","Species.Description","Call.Source","Species.Status","Animal.Condition","Duration.of.Response","Age","Animal.Class","X311SR.Number","Final.Ranger.Action","X..of.Animals","PEP.Response","Animal.Monitored","Rehabilitator","Hours.spent.monitoring","Police.Response","ESU.Response","ACC.Intake.Number"
"13","6/6/19 10:00","6/6/19 10:45","Bronx","851 Fairmont Pl","Inside Miricale Gardens (community Garden)","rooster","Employee","Domestic","Healthy",2,"Juvenile","birds","1-1-1729971530","ACC",3,FALSE,FALSE,"",NA,FALSE,FALSE,"83788"
"14","6/5/19 14:15","6/5/19 15:14","Queens","Rockaway Beach and Boardwalk","Rockaway Beach 97th St. PEP Command","dove","Employee","Native","Injured",3,"Adult","birds","1-1-1727634700","ACC",1,FALSE,FALSE,"",NA,FALSE,FALSE,"65025"
"15","6/5/19 11:00","6/5/19 11:20","Brooklyn","Dyker Beach Park","Dyker 14th Ballfields; 40.613081, -74.014714","raccoon","Employee","Native","Unhealthy",2,"Juvenile","small mammals-rvs","1-1-1728538570","ACC",1,FALSE,FALSE,"",NA,TRUE,FALSE,"64980"
"16","6/5/19 10:00","6/5/19 10:45","Manhattan","Central Park","Behind the Met Museum at East Drive and East 84th","raccoon","Central","Native","Healthy",1,"Juvenile","small mammals-rvs","1-1-1723397861","Relocated/Condition Corrected",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"17","6/2/19 17:15","6/5/19 9:20","Staten Island","LaTourette Park & Golf Course","Perimeter of park","snapping turtle","Other","Native","N/A",0.25,"Adult","terrestrial reptile or amphibian","","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"18","6/4/19 12:30","6/4/19 0:45","Manhattan","Central Park","40.792282, -73.959797 North Meadow Ballfield 4","raccoon","Conservancies/""Friends of"" Groups","Native","DOA",1,"Adult","small mammals-rvs","1-1-1729907440","ACC",1,FALSE,FALSE,"",NA,FALSE,FALSE,"64890"
"19","6/4/19 10:30","6/4/19 10:35","Manhattan","Central Park","CPW drive at field by W 100st pool","monk parakeet","Employee","N/A","Healthy",0.75,"Adult","birds","","Advised/Educated others",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"20","6/2/19 12:00","6/2/19 12:00","Bronx","Van Cortlandt Park","Unspecified Location","mallard duck","Public","Native","Healthy",3.5,"Infant","birds","1-1-1727532800","Rehabilitator",2,FALSE,FALSE,"Wild Bird Fund",NA,FALSE,FALSE,""
"21","6/1/19 15:00","6/1/19 14:30","Bronx","Orchard Beach","Orchard Beach Parking Lot","gull","Public","Native","Injured",2,"Adult","birds","1-1-173378903","Rehabilitator",1,FALSE,FALSE,"Wildbird Fund",NA,FALSE,FALSE,""
"22","5/31/19 8:00","5/31/19 8:30","Manhattan","Tompkins Square Park","Hawk Nest Near Avenue B and East 10th entrance to park","red tailed hawk","Public","Native","N/A",0.5,"Infant","raptors","","Advised/Educated others",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"23","5/31/19 0:00","5/31/19 13:00","Manhattan","Frederick Douglass Playground","Playground and field","snake","Central","N/A","N/A",1,"Adult","terrestrial reptile or amphibian","","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"24","5/31/19 13:00","5/31/19 13:15","Manhattan","Central Park","79st/Transverse","snapping turtle","Conservancies/""Friends of"" Groups","Native","N/A",1,"Adult","terrestrial reptile or amphibian","","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"25","5/31/19 13:00","5/31/19 13:10","Manhattan","Central Park","W110th and CPW; opposite from the playground area near the outside wall of the park","snapping turtle","Employee","Native","Healthy",0.75,"Adult","terrestrial reptile or amphibian","","Advised/Educated others",1,TRUE,FALSE,"",NA,FALSE,FALSE,""
"26","5/27/19 10:00","5/27/19 10:00","Staten Island","Blue Heron Park","Blue Heron Nature Center","snapping turtle","Public","Native","Healthy",0.75,"Adult","terrestrial reptile or amphibian","","Relocated/Condition Corrected",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"27","5/26/19 11:00","5/26/19 12:00","Brooklyn","Sunset Park","Near 5th Ave & 41st Street Entrance","opossum","Central","Native","Injured",2,"Juvenile","small mammals-non rvs","1-1-1726194712","ACC",1,FALSE,FALSE,"",NA,FALSE,FALSE,"64014"
"28","5/25/19 11:00","5/25/19 14:00","Brooklyn","Bushwick Inlet Park","Near water","canada goose","Public","Native","Injured",3,"Juvenile","birds","","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"29","5/23/19 14:00","5/24/19 15:00","Bronx","Harding Park","40.80788, -73.85810","rooster","Employee","Domestic","Unhealthy",2.5,"Adult","domestic","1-1-1 7178168040","ACC",2,FALSE,FALSE,"",NA,FALSE,FALSE,"63836, 63837"
"30","5/24/19 14:30","5/24/19 15:00","Brooklyn","Prospect Park","Lincoln Road entrance","mallard duck","Public","Native","Healthy",4,"Infant","birds","1-1-1718168050","Rehabilitator",2,FALSE,FALSE,"Wild Bird Fund",NA,FALSE,FALSE,""
"31","5/22/19 9:30","5/22/19 9:30","Brooklyn","Dyker Beach Park","13th ave and 86th street","raccoon","Central","Native","Unhealthy",1.5,"Adult","small mammals-rvs","","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"32","5/23/19 12:00","5/23/19 12:15","Manhattan","Central Park","E 85th and 5th Ave","red eyed vireo","Public","Native","Healthy",1,"Adult","birds","","Relocated/Condition Corrected",1,FALSE,TRUE,"",0.5,FALSE,FALSE,""
"33","5/23/19 9:30","5/23/19 10:00","Manhattan","Central Park","Harlem Meer","turtle","Central","N/A","N/A",1,"Adult","terrestrial reptile or amphibian","1-1-174632602","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"34","5/22/19 12:45","5/22/19 14:00","Manhattan","Inwood Hill Park","Inwood Hill Park","squirrel","Employee","Native","Injured",0.5,"Adult","small mammals-non rvs","1-1-1723397386","Relocated/Condition Corrected",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"35","5/22/19 14:50","5/22/19 15:34","Queens","Kissena Park","Oak Ave and Underhill Ave across from the playground","snapping turtle","Central","Native","Injured",1.5,"Juvenile","terrestrial reptile or amphibian","1-1-1724432609","Rehabilitator",1,FALSE,FALSE,"Bobby Horvath",NA,FALSE,FALSE,""
"36","5/22/19 14:00","5/22/19 14:15","Manhattan","Central Park","5th Ave and 108th St","american robin","Public","Native","Healthy",0.5,"Infant","birds","","Relocated/Condition Corrected",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"37","5/20/19 11:40","5/20/19 12:17","Staten Island","Allison Pond Park","Pond","snapping turtle","Central","Native","Healthy",0.5,"Adult","terrestrial reptile or amphibian","","Advised/Educated others",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"38","5/20/19 11:00","5/20/19 11:45","Staten Island","Willowbrook Park","Next to comfort station","domestic duck","Employee","Domestic","Healthy",2,"Juvenile","domestic","","ACC",5,FALSE,FALSE,"",NA,FALSE,FALSE,"1-1-1721095361"
"39","5/18/19 16:15","5/18/19 4:15","Manhattan","Battery Park City","Battery Park by a statue","pigeon","Employee","Native","Injured",0.25,"Adult","domestic","","Relocated/Condition Corrected",1,TRUE,FALSE,"",NA,FALSE,FALSE,""
"40","5/17/19 16:15","5/17/19 16:15","Manhattan","Madison Square Park","n/a","bat","Employee","Native","",0.2,"Adult","small mammals-rvs","","Advised/Educated others",1,TRUE,FALSE,"",NA,FALSE,FALSE,""
"41","5/17/19 8:30","5/17/19 8:31","Manhattan","Highline Park","Highline Park","sparrow","Employee","Native","N/A",0.2,"Infant","birds","","Advised/Educated others",1,TRUE,FALSE,"",NA,FALSE,FALSE,""
"42","5/15/19 11:30","5/16/19 0:00","Manhattan","Fort Washington Park","Nature Discovery Playground","n/a","Central","Native","",1,"Adult","birds","1-1-1721048469","Unfounded",0,FALSE,FALSE,"",NA,FALSE,FALSE,""
"43","5/15/19 11:30","5/16/19 11:00","Manhattan","Fort Washington Park","Lily Brown Playground, 915 Riverside Drive","n/a","Central","Native","N/A",1,"Adult","birds","1-1-1721158092","Unfounded",0,FALSE,FALSE,"",NA,FALSE,FALSE,""
"44","5/16/19 11:00","5/16/19 11:00","Brooklyn","Prospect Park","Lake","canada goose","Public","Native","N/A",1,"Adult","birds","","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"45","5/15/19 11:15","5/15/19 11:35","Staten Island","South Beach Wetlands","South Beach Jetty between Beach command and South fin grill","snapping turtle","Employee","Native","DOA",1.5,"Adult","terrestrial reptile or amphibian","","Relocated/Condition Corrected",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"46","5/14/19 15:54","5/14/19 16:00","Manhattan","Central Park","72nd St/ 5th ave wall","bat","Public","Native","N/A",0.5,"Adult","small mammals-rvs","","Relocated/Condition Corrected",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"47","5/14/19 14:30","5/14/19 14:30","Brooklyn","Marine Park","Salt Marsh Nature Trail near park entrance (40.603795, -73.930020)","raccoon","Observed by Ranger","Native","Unhealthy",1,"Adult","small mammals-rvs","1-1-1714290707","ACC",1,FALSE,FALSE,"",NA,FALSE,FALSE,"62804"
"48","5/14/19 10:00","5/14/19 13:00","Manhattan","Central Park","Hallet Nature Sanctuary","domestic rabbit","Central","Domestic","N/A",1,"Adult","domestic","","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"49","5/11/19 13:10","5/11/19 13:10","Queens","Forest Park","Forest Park Visitor Center","fledgling (possibly starling)","Public","Native","Healthy",2.5,"Infant","birds","1-1-171611660","Rehabilitator",1,FALSE,FALSE,"Wild Bird Fun",NA,FALSE,FALSE,""
"50","5/9/19 9:14","5/9/19 9:14","Queens","Oakland Lake","On main loop","canada goose","Central","Native","N/A",0.75,"Adult","birds","","Unfounded",0,FALSE,FALSE,"",NA,FALSE,FALSE,""
"51","5/12/19 11:00","5/12/19 11:30","Queens","Cambria Playground","Francis Lewis Blvd and 120th Ave","guineafowl","Central","Native","Injured",2,"Adult","birds","1-1-1715195702","ACC",1,FALSE,FALSE,"",NA,FALSE,FALSE,"62613"
"52","5/12/19 9:05","5/12/19 9:11","Staten Island","Willowbrook Park","Ballfield","canada goose","Central","Native","N/A",1,"Adult","birds","","Monitored Animal",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"53","5/9/19 11:30","5/9/19 15:00","Manhattan","Central Park","Large Bald Cyprus on South East Corner of Harlem Meer, close to 106th St and 5th Ave","american goldfinch","Public","Native","DOA",0.5,"Adult","birds","","Relocated/Condition Corrected",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"54","5/11/19 13:00","5/11/19 15:30","Manhattan","Central Park","Harlem Meer","raccoon","Conservancies/""Friends of"" Groups","Native","N/A",0.5,"Adult","small mammals-rvs","","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"55","5/11/19 15:30","5/11/19 15:45","Manhattan","Stuyvesant Square","2nd ave and E15th street","chicken","Central","Domestic","N/A",0.5,"Adult","domestic","","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"56","5/11/19 7:30","5/11/19 10:10","Manhattan","Central Park","Conservatory Waters","chicken","Public","Domestic","N/A",0.5,"Adult","domestic","1-1-171919447","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"57","5/10/19 10:30","5/10/19 14:30","Brooklyn","Prospect Park","Ravine","n/a","Employee","Native","Healthy",4,"Adult","raptors","","Monitored Animal",1,FALSE,TRUE,"",0.5,FALSE,FALSE,""
"58","5/10/19 16:30","5/11/19 0:00","Brooklyn","Bartel-Pritchard Square","40.663032, -73.977845","raccoon","Employee","Native","",0.5,"Adult","small mammals-rvs","","Unfounded",0,FALSE,FALSE,"",NA,FALSE,FALSE,""
"59","5/11/19 9:00","5/11/19 10:30","Brooklyn","Maria Hernandez Park","Starr and Knickerbocker Ave","red tailed hawk","Central","Native","Healthy",1,"Adult","raptors","","Monitored Animal",2,FALSE,TRUE,"",1,FALSE,FALSE,""
"60","5/10/19 16:30","5/10/19 16:30","Brooklyn","Bartel-Pritchard Square","40.663032,-73.977845","raccoon","Employee","Domestic","Healthy",1,"Adult","small mammals-rvs","","Monitored Animal",1,FALSE,TRUE,"",NA,FALSE,FALSE,""
"61","5/9/19 9:00","5/9/19 9:00","Bronx","Williamsbridge Oval Recreation Center","Williamsbridge Oval Park (Unspecified Location)","bird/unspecified species","Employee","N/A","Unhealthy",2,"Infant","birds","1-1-17 14404721","Rehabilitator",5,TRUE,FALSE,"Wild Bird Fund",NA,FALSE,FALSE,""
"62","5/9/19 10:30","5/9/19 10:45","Staten Island","Willowbrook Park","Next to pond","canada goose","Employee","Native","Injured",0.75,"Adult","birds","","Monitored Animal",2,FALSE,TRUE,"",0.75,FALSE,FALSE,""
"63","5/8/19 14:00","5/8/19 15:30","Manhattan","Sherman Creek","40.859929, -73.921817  New York Restoration Project Shed","raccoon","Conservancies/""Friends of"" Groups","Native","Healthy",0.5,"Adult","small mammals-rvs","","Advised/Educated others",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"64","5/8/19 14:00","5/8/19 15:00","Manhattan","Fort Tryon Park","40.860220, -73.934497 Billings Lawn","raccoon","Employee","Native","N/A",0.5,"Adult","small mammals-rvs","","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"65","5/8/19 14:30","5/8/19 15:00","Queens","Kissena Park","By Kissena Lake - Near Kissena Recreation Center","freshwater fish and turtles","Employee","Domestic","N/A",0.5,"Adult;#Juvenile","fish","","Relocated/Condition Corrected",0,FALSE,FALSE,"",NA,FALSE,FALSE,""
"66","5/8/19 12:36","5/8/19 13:01","Staten Island","Clove Lakes Park","Brooke's Pond Dam","snapping turtle","Public","Native","DOA",3,"Adult","terrestrial reptile or amphibian","1-1-1718097151","Relocated/Condition Corrected",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"67","5/5/19 9:05","5/5/19 9:08","Bronx","Van Cortlandt Park","Van Cortlandt Lake Storm Drain    40.889697, -73.893512","turtle/ unspecified species","Central","N/A","N/A",0.5,"Adult","terrestrial reptile or amphibian","1-1-1-716461740","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"68","5/3/19 11:25","5/3/19 11:30","Queens","Alley Pond Park","Springfield Blvd and 74th Ave","cat","Central","Domestic","Injured",2.5,"Adult","domestic","1-1-1716062206","ACC",1,FALSE,FALSE,"",NA,FALSE,FALSE,"61753"
"69","5/3/19 8:55","5/3/19 9:10","Brooklyn","Marine Park","Carro Center","opossum","Employee","Native","Healthy",0.75,"Adult","small mammals-non rvs","1-1-1714320460","Relocated/Condition Corrected",1,FALSE,TRUE,"",0.25,FALSE,FALSE,""
"70","5/2/19 12:30","5/2/19 13:30","Staten Island","Willowbrook Park","Near pond","canada goose","Employee","Native","Injured",1.25,"Adult","birds","","Monitored Animal",2,FALSE,TRUE,"",1.25,FALSE,FALSE,""
"71","5/1/19 16:30","5/1/19 17:00","Manhattan","Central Park","40.796889, -73.954878 On Central Park East Drive across from Lasker Rink","raccoon","Public","Native","N/A",0.5,"Adult","small mammals-rvs","","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"72","5/1/19 15:45","5/1/19 16:00","Manhattan","Central Park","40.775852, -73.975422  72nd St entrance drive off of Central Park West","silver haired bat","Conservancies/""Friends of"" Groups","Native","Injured",1,"Adult","small mammals-rvs","1-1-1714685270","Rehabilitator",1,FALSE,FALSE,"Wild Bird Fund",NA,FALSE,FALSE,""
"73","4/30/19 17:00","4/30/19 17:30","Brooklyn","Prospect Park","Between Bandshell and Harmony Playground","raccoon","Employee","Native","N/A",0.5,"Adult","small mammals-rvs","","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"74","4/11/19 16:30","4/11/19 17:00","Brooklyn","Coney Island Beach &amp; Boardwalk","Between 20th & 21st  near Ford Ampitheater","raccoon","Central","Native","N/A",1,"Adult","small mammals-rvs","1-1-1706118880","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"75","4/30/19 14:00","4/30/19 14:00","Staten Island","Clove Lakes Park","On bank near Martling Ave.","domestic duck","Observed by Ranger","Domestic","Healthy",0.25,"Infant","domestic","1-1-1709509701","ACC",3,FALSE,FALSE,"",NA,FALSE,FALSE,"79053"
"76","4/29/19 12:30","4/29/19 12:44","Staten Island","Franklin D. Roosevelt Boardwalk and Beach","Fort Wadsworth side of beach but visible from South Beach","seal","Employee","Native","DOA",1,"Juvenile","marine mammals","1-1-1709564922","Relocated/Condition Corrected",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"77","4/28/19 8:30","4/28/19 9:37","Queens","Forest Park","Trails near soccer field (Victory Field)","raccoon","Public","Native","Unhealthy",0.5,"Adult","small mammals-rvs","1-1-171466824","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"78","4/28/19 8:25","4/28/19 8:30","Manhattan","Central Park","Harlem Meer; on the North side of the Island in the middle of the Meer","egret","Conservancies/""Friends of"" Groups","Native","N/A",1,"Adult","birds","","Monitored Animal",1,FALSE,TRUE,"",1,FALSE,FALSE,""
"79","4/26/19 12:30","4/26/19 13:00","Brooklyn","Prospect Park","Lake","canada goose","Conservancies/""Friends of"" Groups","Native","Injured",0.5,"Adult","birds","1-1-1710353433","ACC",1,FALSE,FALSE,"",NA,FALSE,FALSE,"61112"
"80","4/25/19 16:00","4/25/19 16:20","Staten Island","Blue Heron Park","Fork in the red and green trail","skunk","Observed by Ranger","Native","Healthy",3,"Infant","small mammals-rvs","1-1-1-708282770","Rehabilitator",2,FALSE,FALSE,"",NA,FALSE,FALSE,""
"81","4/23/19 15:00","4/23/19 15:45","Manhattan","Fort Washington Park","170 Street next to the Greenway","skunk","Other","Native","DOA",1,"Adult","small mammals-rvs","1-1-1711055621","ACC",1,FALSE,FALSE,"",NA,FALSE,FALSE,"60839"
"82","4/23/19 14:45","4/23/19 15:00","Manhattan","Central Park","on Glade arch by the  Maple tree","squirrel","Public","Native","Injured",1.75,"Juvenile","small mammals-non rvs","1-1-1709390570","Relocated/Condition Corrected",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"83","4/23/19 0:00","4/23/19 13:15","Bronx","Van Cortlandt Park","Van Cortlandt Nature Center","painted turtle","Public","Native","Healthy",0.1,"Infant","terrestrial reptile or amphibian","","Relocated/Condition Corrected",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"84","4/23/19 10:00","4/23/19 10:06","Staten Island","Blue Heron Park","Intersection of green and red trail close to Spring Pond","skunk","Observed by Ranger","Native","Unhealthy",1.25,"Infant","small mammals-rvs","1-1-1710353230","ACC",1,FALSE,FALSE,"",NA,FALSE,FALSE,"60772"
"85","4/22/19 10:30","4/22/19 13:21","Queens","Rockaway Beach and Boardwalk","Beach 23rd Street inside plover site","northern gannet","Employee","Native","Injured",2.25,"Juvenile","birds","1-1-1709572321","ACC",1,FALSE,FALSE,"",NA,FALSE,FALSE,"60715"
"86","4/21/19 16:20","4/21/19 16:35","Bronx","Van Cortlandt Park","John Kieran Trail","raccoon","Employee","Native","Healthy",0.5,"Juvenile","small mammals-rvs","","Monitored Animal",1,FALSE,TRUE,"",0.5,FALSE,FALSE,""
"87","4/21/19 0:00","4/21/19 15:10","Manhattan","Riverside Park","Hippo Playground","raccoon","Employee","Native","Healthy",0.5,"Juvenile","small mammals-rvs","1-71-1055070","Relocated/Condition Corrected",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"88","4/21/19 14:00","4/21/19 14:48","Queens","Astoria Park","Basketball Courts","parakeet","Public","Domestic","",1.25,"Adult","birds","","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"89","4/21/19 13:45","4/21/19 13:45","Bronx","Van Cortlandt Park","Parade Ground Bridle Path","painted turtle","Public","Native","Healthy",0.1,"Infant","terrestrial reptile or amphibian","","Relocated/Condition Corrected",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"90","4/17/19 11:30","4/17/19 11:45","Queens","Kissena Park","Underhill Ave and 164th St","raccoon","Employee","Native","N/A",1.5,"Adult","small mammals-rvs","","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"91","4/19/19 13:00","4/19/19 13:05","Queens","Kissena Park","Underhill Ave and 164th St","raccoon","Employee","Native","Injured",1.5,"Adult","small mammals-rvs","","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"92","4/19/19 9:45","4/19/19 9:55","Brooklyn","Calvert Vaux Park","40.585782, -73.991013","raccoon","Employee","Native","Unhealthy",1.5,"Juvenile","small mammals-rvs","1-1-1705092230","ACC",1,FALSE,TRUE,"",0.15,FALSE,FALSE,"60407"
"93","4/18/19 0:00","4/18/19 15:30","Bronx","Crotona Park","Crotona, Indian Lake","mallard duck","Employee","Domestic","Healthy",3.5,"Juvenile","domestic","1-1-1709590100","Rehabilitator",1,FALSE,FALSE,"Wild Bird Fund",NA,FALSE,FALSE,""
"94","4/18/19 9:45","4/18/19 13:30","Manhattan","Morningside Park","Northern Morningside Park","raccoon","Other","Native","DOA",1.5,"Adult","small mammals-rvs","1-1-1706046820","ACC",1,FALSE,FALSE,"",NA,FALSE,FALSE,"60355"
"95","4/18/19 8:00","4/18/19 9:30","Manhattan","Inwood Hill Park","40.867995, -73.927794 cross streets: Beak St and Payson Ave.","raccoon","Public","Native","DOA",1.5,"Adult","small mammals-rvs","1-1-1709864080","ACC",1,FALSE,FALSE,"",NA,FALSE,FALSE,"60330"
"96","4/17/19 13:00","4/17/19 13:30","Manhattan","Central Park","Near Boathouse Restaurant Parking Lot","american robin","Central","Native","Injured",1,"Adult","birds","1-1-1706102711","Rehabilitator",1,FALSE,FALSE,"Wild Bird Fund",NA,FALSE,FALSE,""
"97","4/12/19 15:00","4/12/19 15:00","Brooklyn","Owl's Head Park","68th and shore road (40.639650, -74.035170)","raccoon","Central","Native","Unhealthy",2.5,"Juvenile","small mammals-rvs","1-1-1705059830","ACC",1,FALSE,TRUE,"",0.5,FALSE,FALSE,"59832"
"98","4/16/19 11:15","4/16/19 13:15","Manhattan","Central Park","Lawn South of Hecksher Playground","raccoon","Public","Native","Healthy",0.5,"Adult","small mammals-rvs","","Advised/Educated others",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"99","4/15/19 12:00","4/15/19 13:00","Bronx","Pugsley Creek Park","Within the park","raccoon","Other","Native","N/A",0.5,"Adult","small mammals-rvs","","Unfounded",2,FALSE,FALSE,"",NA,FALSE,FALSE,""
"100","4/14/19 12:25","4/14/19 12:25","Queens","Highland Park","Near entrance to path through Basin 2","cockatiel","Observed by Ranger","Domestic","Healthy",1.75,"Adult","domestic","1-1-1703221094","ACC",1,FALSE,FALSE,"",NA,FALSE,FALSE,"59971"
"101","4/11/19 11:45","4/11/19 11:51","Queens","Forest Park","Entrance to blue trail past Victory Field","raccoon","Employee","Native","DOA",1,"Adult","small mammals-rvs","","Relocated/Condition Corrected",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"102","4/13/19 14:00","4/13/19 14:30","Manhattan","Inwood Hill Park","Southeast corner Gaelic Soccer Field 40°52'18.8""N 73°55'19.3""W","raccoon","Central","Native","Unhealthy",2,"Adult","small mammals-rvs","1-1-1705526123","ACC",1,FALSE,FALSE,"",NA,FALSE,FALSE,"59915"
"103","4/11/19 15:30","4/11/19 15:30","Manhattan","Central Park","102 Street Cut Through, North Woods","raccoon","Conservancies/""Friends of"" Groups","Native","Healthy",0.25,"Infant","small mammals-rvs","","Advised/Educated others",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"104","4/12/19 17:00","4/12/19 17:45","Manhattan","Inwood Hill Park","The wall near Seaman Ave entrance","skunk","Employee","Native","N/A",2,"Adult","small mammals-rvs","","Unfounded",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
"105","4/8/19 13:00","4/8/19 13:30","Manhattan","Inwood Hill Park","Underneath and east of Henry Hudson Bridge, White trail of inwood hill park, in middle of a desire line that leads to lesser known glacial rock formations. GPS (40.875924, -73.922876 )","raccoon","Public","Native","DOA",1,"Adult","small mammals-rvs","","Relocated/Condition Corrected",1,FALSE,FALSE,"",NA,FALSE,FALSE,""
